,sulfurdioxide_total_vertical_column,qa_value
2020-04-10 10:16:39,-0.0005852496833540499,90.0
2020-04-11 09:57:43,-0.0007137806969694793,90.0
2020-04-12 09:38:47,-9999.0,255.0
2020-04-13 09:19:52,-9999.0,255.0
2020-04-14 09:00:56,-9999.0,255.0
2020-04-15 10:23:31,-0.00020921598479617387,90.0
2020-04-16 10:04:35,0.0013788859359920025,90.0
2020-04-17 09:45:40,-9999.0,255.0
2020-04-18 09:26:44,-9999.0,255.0
2020-04-19 09:07:48,-9999.0,255.0
2020-04-20 08:48:53,-9999.0,255.0
2020-04-21 10:11:26,7.194100180640817e-05,90.0
2020-04-22 09:52:31,-0.00066449458245188,90.0
2020-04-23 09:33:34,-9999.0,255.0
2020-04-24 09:14:39,-9999.0,255.0
2020-04-25 08:55:42,-9999.0,255.0
2020-04-26 10:18:16,0.0008539801347069442,90.0
2020-04-27 09:59:19,0.0021743043325841427,100.0
2020-04-28 09:40:22,-9999.0,255.0
2020-04-29 09:21:26,-9999.0,255.0
